,CVE_DOC,FECHA_DOC,NOMBRE_VENDEDOR,NOMBRE_CLIENTE,CANT,CVE_ART,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO,MARGEN_TOTAL_CALCULADO
1360,F39716,2022-12-07,ALFREDO CANELA,DIECASTING CELAYA,1,BO00005,BO ABIERTA ALAMBRE CAL. 6 40 KW 440 V,18482.78,1734.88,1734.88,18482.78,1734.88,16747.9,16747.9
1362,F39721,2022-12-07,ALFREDO CANELA,LBQ FOUNDRY,10,ABRAZA01,ABRAZADERA INOX PARA AJUSTE 2 pz c/u,123.0,21.39,21.39,1230.0,213.85,101.61,1016.15
